GalaxyID_test,Mass_Host,SubGroupNumber,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1[kpc],R_2[kpc],r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
9498012,153870811136.0,6,28000000000002,3505951,59044121,197.8173940297641,299.56885014357044,16.00161598411846,24.55979751176977,0.016259418128294126,0.008827422263989176,73,159,195
9508202,76040994816.0,7,28000000000002,9562859,59945710,257.70498356747424,384.957521550524,21.223223515950142,45.328367846334615,0.3154588957449128,0.016044783671652903,12,21,47
9512113,134512754688.0,8,28000000000002,59040002,59043689,66.89909095869382,145.78731232412025,5.432368686601637,12.390207560133119,0.024484095293706813,0.014955609203500071,92,159,188
9517736,22329968640.0,9,28000000000002,3507027,9537911,140.05214217003555,423.7625840599794,16.15092246398037,37.49081710598116,0.04655791867695162,1.9995913165778634,7,108,190
9519365,48333529088.0,10,28000000000002,3488454,9542932,611.9275068332034,634.2241425264881,40.81671387866133,38.1351296426292,0.024852803067885926,0.7955870665679788,10,93,190
9521792,58153623552.0,11,28000000000002,3477495,3462714,120.04160523596977,214.21217278545404,12.921905457685634,21.857274252255664,0.11344465553553817,0.17015618487043851,52,147,184
59938660,1433391104.0,303,28000000000002,59040870,3480006,138.55490452262484,206.94929057828452,21.193450558167992,36.42582600419493,1.9436046395331892,8.9547141154854,95,150,188
59940276,1117197440.0,318,28000000000002,3497085,59041221,146.9440819561291,187.84154885795283,21.264787917491567,24.559659987902194,1.1523630845412607,1.8447542736940035,92,154,193
59940847,1098738944.0,322,28000000000002,59043689,2727611,102.49003966033524,137.8509797437055,15.676066679054479,21.318321034737213,1.830935549327357,40.641772770366096,96,161,185
59943139,1672387712.0,345,28000000000002,14895218,3492209,56.350668400489624,319.85667336943266,4.452418243395837,40.878240398713295,131.48405518062071,1.8961565199541481,22,140,187
59945710,1220061312.0,361,28000000000002,14910180,9562859,120.9046765112195,160.49890177099235,11.041537826502195,17.18156399566652,51.35424223663934,19.661149829165307,11,24,60
59949248,1893002240.0,396,28000000000002,14916079,59042445,110.29667004651704,118.15933407298596,13.995813015397136,25.743054926897614,198.19305812126245,0.9965475201973348,82,153,185
59043067,1280854784.0,266,28000000000002,3509635,3459355,117.01927600108478,148.84844251194647,11.303809548482588,15.152947443272335,0.9123000660159146,6.860973441935475,82,154,182
59043409,1681660672.0,269,28000000000002,14916079,59042445,30.259421290475558,94.8452281189324,3.275636737334433,15.948465492026225,223.10083670435031,1.1217879560425374,89,156,185
59043689,2011720192.0,285,28000000000002,3469437,59940847,101.18996058051282,102.49003966033524,14.4945401282158,15.676066679054479,5.613264578695445,0.5461688699896491,96,160,185
59044121,1358282624.0,286,28000000000002,3463997,3511643,146.53837748656923,200.7758534060801,18.462502785189276,26.872367459278458,9.29726771208405,0.840684844099132,91,161,192
2721236,49555759104.0,27,28000000000002,3467011,3436883,57.517379649371954,90.8820677977958,13.51032500012905,20.923177761075472,0.3413155550397923,0.5549392432529652,101,161,187
2727611,44654698496.0,29,28000000000002,59940847,59042906,137.8509797437055,170.57675442134388,21.318321034737213,27.865302879159447,0.02460522590021341,0.032175045950174765,97,160,186
59041221,2060954752.0,220,28000000000002,3499476,59940276,73.27645496085569,187.84154885795283,9.786194530850794,24.559659987902194,1.4149907624949158,0.5420776166559915,97,161,194
59041479,1013684736.0,254,28000000000002,3504777,3470020,319.7934824394142,355.9525380054078,26.40131259024881,23.97299179495928,1.2997509158508234,6.2450803165689575,29,124,176
59041720,1298462848.0,256,28000000000002,9552226,3505407,320.6820196702374,370.8961181132752,28.052862824174145,37.40423946128754,24.289342494919037,1.3853689990212181,28,148,194
59042032,2174225920.0,258,28000000000002,3461244,3481874,85.60721319552813,107.64959191155683,16.229252860363314,14.74911545681726,8.890893869943378,3.3879537081408726,93,159,192
59042445,1886466688.0,259,28000000000002,14916079,59043409,67.73009274702923,94.8452281189324,6.820599428039771,15.948465492026225,198.8796862211012,0.8914340670297592,87,154,185
59042906,1436766976.0,265,28000000000002,2721236,3461244,135.83271604099667,154.03889659662596,23.973727882941393,30.468265117431738,34.49115961863533,13.454382114083336,98,161,187
