GalaxyID_test,GroupID_test,snap_lm,z_lm,L_lm,snap_lmm,z_lmm,L_lmm
9498012,28000000000002,22.0,0.615189790725708,1.3699783086776733,22.0,0.615189790725708,1.3699783086776733
9508202,28000000000002,26.0,0.18270987272262573,1.0004215240478516,19.0,1.0041216611862183,1.3258264064788818
9512113,28000000000002,26.0,0.18270987272262573,1.0004215240478516,24.0,0.36566856503486633,1.5452693700790405
9517736,28000000000002,26.0,0.18270987272262573,1.0004215240478516,,,
9519365,28000000000002,25.0,0.270901083946228,1.008287787437439,5.0,7.049566268920898,3.6146204471588135
9521792,28000000000002,20.0,0.8650505542755127,1.003679871559143,10.0,3.983663558959961,1.7271867990493774
2721236,28000000000002,19.0,1.0041216611862183,1.4878939390182495,19.0,1.0041216611862183,1.4878939390182495
2727611,28000000000002,21.0,0.7356296181678772,1.0684977769851685,11.0,3.5279765129089355,1.355538249015808
14957972,28000000000002,21.0,0.7356296181678772,1.0684977769851685,9.0,4.485213756561279,1.9503828287124634
21573586,28000000000002,21.0,0.7356296181678772,1.0684977769851685,13.0,2.4784133434295654,2.355970621109009
4456329,28000000000004,24.0,0.36566856503486633,1.0060933828353882,6.0,5.97116231918335,1.572160243988037
4458732,28000000000004,24.0,0.36566856503486633,1.0060933828353882,9.0,4.485213756561279,1.3159769773483276
4461431,28000000000004,24.0,0.36566856503486633,1.0107403993606567,,,
4469363,28000000000004,24.0,0.36566856503486633,1.0035741329193115,8.0,5.03723669052124,2.1570565700531006
4470669,28000000000004,24.0,0.36566856503486633,1.0068285465240479,13.0,2.4784133434295654,1.3609247207641602
4471813,28000000000004,21.0,0.7356296181678772,1.0074471235275269,16.0,1.7369657754898071,1.7184371948242188
10265953,28000000002097,21.0,0.7356296181678772,1.0074471235275269,,,
10348673,28000000002184,21.0,0.7356296181678772,1.0074471235275269,6.0,5.97116231918335,1.4105576276779175
10507082,28000000002364,14.0,2.237036943435669,1.0159618854522705,9.0,4.485213756561279,1.3269420862197876
10806033,28000000002503,27.0,0.10063853859901428,1.0842301845550537,17.0,1.486707329750061,1.3760164976119995
10873831,28000000002588,27.0,0.10063853859901428,1.0842301845550537,,,
10883094,28000000002601,17.0,1.486707329750061,1.025178074836731,,,
10324277,28000000002158,27.0,0.10063853859901428,1.0031726360321045,22.0,0.615189790725708,4.609459400177002
10326234,28000000002160,24.0,0.36566856503486633,1.0238723754882812,17.0,1.486707329750061,1.5521870851516724
10352660,28000000002189,24.0,0.36566856503486633,1.0070351362228394,21.0,0.7356296181678772,1.333145022392273
10400500,28000000002241,20.0,0.8650505542755127,1.160961389541626,,,
