GalaxyID_snap28,GalaxyID,Lm_max,GroupID,SubGroupNumber,LastProgID,TopLeafID,DescendantID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen,Redshift,StarFormationRate,Stars_Metallicity,SF_Mass,NSF_Mass,BlackHoleMass,MassType_DM,SF_Metallicity,Vmax,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,HalfMassRad_Star,sSFR,SF_logOH,tiempo
9508202,9508215,1.1570388078689575,15000000000440,0,9509038,9508229,9508214,15,17736964000.0,0.7097027,0.009490434,2.0124102,16.127737,0.012401131,15732472000.0,58708214000.0,3954130.8,879631500000.0,0.019795183,222.22745,3.8422906,36.53349,61.997932,1.9300139,9.092727e-10,8.92209,3.2762244
9508202,9508214,1.1570388078689575,16000000000380,0,9509374,9508229,9508213,16,28317890000.0,0.71224177,0.00885007,1.7369658,25.052534,0.013664899,24580112000.0,91099950000.0,6949432.5,1294928600000.0,0.018578058,245.78386,3.8526485,36.406124,61.648468,2.384034,8.8468927e-10,8.8902,3.7668543
9508202,9508212,1.3258883953094482,18000000000420,0,9509945,9508229,9508211,18,53696496000.0,0.6852202,0.013525332,1.2593315,24.382942,0.017543256,19447822000.0,141505860000.0,22285008.0,2160114400000.0,0.030077288,290.2313,4.134301,36.264244,60.933365,2.9485364,4.5408816e-10,9.091198,4.9582767
9508202,9508211,1.3258883953094482,19000100000014,0,9510922,9508229,9508210,19,77324190000.0,0.69497555,0.011286467,1.0041217,4.518675,0.021047205,6765463600.0,80619380000.0,77945016.0,2009036600000.0,0.025742391,280.50333,4.3664217,36.04678,60.468857,3.52788,5.843805e-11,9.006469,5.8637867
9512113,9512130,1.6439059972763062,11000000000613,0,9512450,9512140,9512129,11,3227854600.0,0.7397491,0.0036453435,3.5279765,7.137663,0.004240756,8176751600.0,26611057000.0,597720.4,483511300000.0,0.006368824,213.68147,9.827008,34.368298,40.413452,2.2244954,2.2112716e-09,8.488534,1.7945184
9512113,9512129,1.6439059972763062,12000000000675,0,9512701,9512140,9512128,12,8619447000.0,0.7324351,0.005369165,3.0165045,15.22132,0.0058649546,14085800000.0,35179844000.0,945149.9,613900000000.0,0.010002949,212.68271,9.747488,34.42145,40.98646,2.934248,1.7659276e-09,8.661017,2.1443036
9512113,9512118,1.5454262495040894,23000000000303,0,9515148,9512140,9512117,23,71516110000.0,0.6722161,0.015133007,0.5031073,9.764566,0.02064264,17915530000.0,396293830000.0,14391660.0,3857223000000.0,0.03562729,272.00998,8.557704,35.433773,48.07755,9.723365,1.365366e-10,9.148296,8.603063
9512113,9512117,1.5454262495040894,24000000000304,0,9517092,9512140,9512116,24,122070610000.0,0.66024894,0.017168762,0.36566857,12.519857,0.023892993,17985075000.0,458649170000.0,39617036.0,4072540000000.0,0.040775206,287.51752,8.384529,35.444336,49.201733,8.616274,1.0256242e-10,9.210912,9.698071
9517736,9517753,1.1704038381576538,11000200001217,0,9517853,9517762,9517752,11,161802990.0,0.7492343,0.0008369894,3.5279765,1.5976404,0.0008947989,1612392100.0,5051131000.0,305403.34,89970024000.0,0.0013650308,123.81889,12.43333,41.78588,62.532913,2.5427668,9.873985e-09,7.843982,1.7945184
9517736,9517752,1.1704038381576538,12000100000685,0,9517979,9517762,9517751,12,592958500.0,0.7464198,0.001734801,3.0165045,1.6946908,0.0016522383,2737201700.0,16788819000.0,453018.6,248445260000.0,0.0028191067,173.71313,12.286537,41.674854,62.140556,5.13221,2.8580258e-09,8.162147,2.1443036
