GalaxyID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,mu_1,mu_2,N_1,N_2,N_3
9498012,9532694,3461244,0.5059414761673414,0.5187907850478252,0.6492625961118791,0.12563014233358594,18,35,41
9508202,9562859,14910180,0.25770498356747423,0.4635804937029715,0.3154588957449128,0.8239677073085387,3,3,15
9512113,3467928,9554089,0.15047539027009507,0.23195555137545737,0.12030837793439153,0.31434549934001277,20,34,40
9517736,9537911,9542932,0.4237625840599794,0.6779667826163732,1.9995913165778634,1.7220593205454677,2,35,52
9519365,9542932,9539937,0.6342241425264881,0.9525787415287204,0.7955870665679788,0.6154510126881136,2,34,52
9521792,9532694,3477850,0.5221117550858525,0.6419375943405699,1.717907779463971,0.21609954160058184,18,40,53
2721236,3467011,3436883,0.05751737964937195,0.0908820677977958,0.3413155550397923,0.5549392432529652,28,45,52
2727611,3467928,9554089,0.1900511647253007,0.24371832863139228,0.362403327601677,0.9468987690911763,29,44,52
14957972,14910180,9562859,0.5062831165871912,0.5986225986270494,1.1584287570225915,0.44350846914035563,3,5,22
21573586,14916079,14895218,0.6119925252470739,1.4162408330504226,0.22532765017229042,0.13206416164544862,1,2,2
4456329,4471813,4481850,0.12428186321404011,0.14696055026589178,0.8404708463807669,0.45636154199958984,26,39,47
4458732,10645724,4461431,0.3173830671492802,0.32813569347112276,1.5991130768884507,1.3855476731732952,24,38,48
4461431,4476932,21924775,0.09076064475298631,0.09802693979391842,0.517811122283534,18.66994255570793,28,41,46
4469363,4480428,10667287,0.11804049361736557,0.12567362782183808,0.5145845667422622,0.5957250650656578,22,40,43
4470669,10649315,10632940,0.1968211687312004,0.3196859791933756,1.4343510950059717,3.0060609915890626,28,39,46
4471813,14978115,4481850,0.07671098481889822,0.11200750410786232,11.135570337530227,0.5429831908682765,30,41,47
10265953,10492298,17079993,4.45145147203241,4.466035908592938,0.7834415795392615,4.678487819554769,0,0,0
10348673,19402355,11025588,1.9210746616717325,1.9593137596043027,12.476831463164524,0.7268149802415345,0,3,14
10507082,18096815,16530722,1.7357212250456096,2.7106450968724287,2.129798492308759,5.869238070883377,0,1,2
10806033,10112025,18176453,0.9171873166703228,1.319161760723316,1.2433594715834835,4.40737204944167,1,3,4
10873831,9103215,8756516,2.037903742708492,2.46067409298373,2.279303237214117,0.9478567431975272,0,0,3
10883094,18029434,10431233,3.4366401800660387,4.286225106179069,3.2351263325701294,0.7396274178877964,0,0,0
10324277,16009893,16005098,0.8743836149181248,1.3583287517681661,3.585194167396707,3.4882004914438425,1,2,3
10326234,18073059,13823710,0.8401133022271802,0.8452939738461739,2.904702262350401,0.7662308964617139,3,7,8
10352660,8335907,15358400,7.494514309617663,7.63619593754383,5.686552401907514,4.1920846557918905,0,0,0
10400500,9952720,10304879,5.6398426160628,6.600115320879943,1.1299869171681154,1.091546719888036,0,0,0
10444583,8903543,20655128,3.451191295891429,3.7055399395922346,2.4498751217922936,10.887632201025413,0,0,0
10480764,10014008,10139494,0.9371382565216805,3.169972295446054,1.3913914956202575,1.1647159566667968,1,1,1
10525701,11048306,9922347,2.045780698639896,2.69865307280723,0.8882646597540744,0.9367084725602831,0,0,2
10774874,10773626,10222239,1.6094356976439832,2.7408568192764733,1.2382086541714865,2.1211933531792027,0,1,2
10888018,9636079,18158078,1.9205168442366887,1.9607209035224822,1.3040379758690042,2.163604716922069,0,2,2
10925514,8814842,9266059,4.048735478714399,8.211141271095398,1.4513831426717707,1.238900644629543,0,0,0
1,21242350,42233,0.03828901871518249,0.14232898926732088,25.058663900748346,0.3398601836903845,24,37,45
13631,48441,21109760,0.12201181686579193,0.13757905386137878,0.27580608578607896,23.471117777634735,25,34,50
21793,29817,42233,0.2376088063969144,0.303878495492841,0.5872477411404151,0.46858350874311716,22,37,47
23301,8141417,1,0.07771714276144903,0.16038417752650297,0.8433769161055944,1.3094095808196906,23,42,45
24477,8128760,28850,0.24856126786787805,0.3532235783113887,1.7368364050303131,1.186206204251478,21,33,44
26263,38951,13631,0.0917965917387921,0.1957321494114912,0.5229325361092592,1.4594227130480655,25,32,50
12174564,12182126,12176835,0.1828526467292126,0.5465762560553776,0.30186694741547787,0.7584548134454224,4,7,8
12176835,18849992,12174564,0.29110870565005,0.5465762560553776,8.014598627691791,1.3184701082683008,6,7,8
12178297,12181021,18849992,0.41840627268324737,0.5470608982847004,0.5170012306189954,6.791586075607256,3,8,8
12180228,18849992,12174564,0.8823626046158616,0.9311609741175817,16.68355083734267,2.7445869844072237,3,7,8
12181021,12178297,18849992,0.41840627268324737,0.8068909330663638,1.9342313727236584,13.136498857992708,3,8,8
12182126,12174564,12176835,0.1828526467292126,0.655825107165642,3.3127177670884222,2.512546736034386,3,7,7
17199679,12174564,12180228,1.158352826770363,1.2204336418554866,0.3087601243948807,0.11249784617832646,0,6,7
18849992,12176835,12178297,0.29110870565005,0.5470608982847004,0.12477231193397896,0.1472410109902917,3,4,5
10277847,18253968,18266346,3.369561804716037,4.4811277085320125,21.416970757764737,6.13625995826565,0,0,0
10387803,15046948,2044165,1.1224173653027916,1.1610920906235749,10.057615511676175,0.8557574483951121,0,2,2
10414448,9840059,8132670,1.7277311590368665,2.076098256257527,1.393316886194797,0.7974440383813552,0,1,3
10450101,8540530,16720413,1.615600134752844,2.1387644878113052,2.4365423126546615,4.038259629784531,0,1,5
10467985,15214258,8318302,1.2665131053887648,1.3476120812194097,8.08841863263309,1.5473653448659943,0,2,2
10541604,17858354,8717752,0.7628294536733807,1.361674076843958,3.3443576585775903,1.3363181726025546,1,2,3
10763260,17213205,18927202,1.9376769133732488,2.3371218800785543,7.719912025691328,37.05862278675415,0,1,7
10779974,18099216,8808174,0.6989037464258644,2.6135303870234146,3.4270054021332177,1.5605036149860627,1,1,2
10783377,18054057,8747773,3.1990585835657597,3.220453173651198,1.6181998772988373,1.8369040975623083,0,0,0
10861278,10412988,15471805,2.6245229732471755,4.486152787324841,1.0967859801812643,5.0457495762350995,0,0,1
10961477,11082762,2599935,0.8535336838740102,3.6696257613739025,0.9146323086249045,0.7373114919719671,1,1,1
10250786,8809751,9143370,1.9176670182520572,2.3625149150129987,2.1464047446664125,1.0694885760198585,0,1,3
10282280,17438870,8626549,4.747989501721056,5.727001960660026,2.8427958834315343,1.1012337421817315,0,0,0
10329240,18123020,9310678,2.037107496257198,5.728023046317514,4.017019445153614,1.4278893404041855,0,0,1
10396158,10687442,10692476,1.4263719457025634,1.4582076070989372,3.4615433678457728,3.0175962632780853,0,10,22
10441837,16850421,16911816,5.196734509300405,5.386009161642074,4.269303629932849,5.651591357985791,0,0,0
10465290,17749095,12186188,2.5418680269137774,3.11369657844794,6.205398847437064,3.6074104382059753,0,0,1
10523997,10178758,9874753,2.6288997599585424,3.30433556751378,1.7673657073145426,1.2181388020892532,0,0,1
10791967,13183666,13174673,0.8269145023789847,1.288588673235715,1.7351164506010595,3.054518153003742,1,7,8
10872031,12067212,11149101,1.203318957403031,2.244332165440571,1.0803888752451252,0.993876281720284,0,1,4
10963566,33115,13935854,1.3719676470029087,1.4311290867122324,0.48612984442389806,2.983722138729966,0,20,44
10965880,17802906,10985641,1.1958888638260265,4.311777669467936,2.3020383682605554,1.0116399608320379,0,1,1
11025588,14195765,10348673,1.2273674519506719,1.9593137596043027,7.32517275068971,1.3758659730261489,0,2,9
16300531,5956832,20532194,0.4651084026848711,0.5639432689402523,0.12985539019891407,1.6562793017942923,2,4,6
11500509,11502825,5962245,0.43215868774528354,0.8797593700721228,0.44664530414319004,0.5324474610176044,3,14,18
11501685,16300531,11504642,0.7048807846646002,0.707698728177713,12.62709349567252,0.7929626000788994,9,17,23
11502825,11500509,5962245,0.43215868774528354,0.8028684416341302,2.23891304962519,1.192103568712114,3,15,18
11503868,5961316,5958291,0.3535122505295024,0.8795929609271259,1.297549885170512,2.0767688211398014,5,18,20
5963334,5965712,16300531,0.2605745573054665,0.2621707518233404,1.2009575108112744,30.7098798415702,10,16,22
5965712,16300531,5963334,0.038081906534528115,0.2605745573054665,25.571162647398715,0.8326689254180832,11,16,22
5956832,5959321,20532194,0.11129179707170474,0.12317617572629432,0.6372227302411609,12.754798235615663,11,16,21
5958291,20532194,5960125,0.1545114024149187,0.2206942000480308,17.541363172383406,0.9193797432805803,13,16,20
5959321,5956832,20532194,0.11129179707170474,0.22484535245568943,1.569309995614161,20.016232363193524,11,16,21
5960125,20532194,5956832,0.11051540240844385,0.15657348995092038,19.079562390390908,1.495873320607643,11,16,20
5961316,11503868,5958291,0.3535122505295024,0.6207538892543929,0.7706832788695359,1.600531004530043,9,18,20
5962245,5958291,20532194,0.2427438009168961,0.3621660054834806,1.6101430480113472,28.244103964655412,13,16,19
17611275,19927838,16085014,0.42140932438040285,3.140450245834277,2.1492119860283783,0.6592518569605627,1,1,1
19927838,17611275,16085014,0.42140932438040285,2.759827978542237,0.4652868151214545,0.3067411968880848,1,1,2
13266439,20058967,13274319,0.21519381416714814,0.6390831108328859,1.8131564470545876,0.4970844546783846,2,2,2
13274319,13266439,20058967,0.6390831108328859,0.6401532974979276,2.011730583381457,3.6475822769949753,2,2,2
20058967,13266439,13274319,0.21519381416714814,0.6401532974979276,0.5515243881047699,0.2741541997028893,2,2,2
13624663,20324216,13626220,0.6055927886923184,0.7621494682914856,5.5199189074103865,0.34534374241391447,2,2,4
13626220,20324216,13624663,0.677141739233094,0.7621494682914856,15.983839373566656,2.895665614237313,2,4,4
20324216,13624663,17357222,0.6055927886923184,1.8720410445299256,0.18116208168520717,0.16574541951589564,1,2,2
20374369,9382018,17816033,2.6556358842432903,2.809087411765877,0.14881378310596746,0.17003165936763223,0,0,2
14895218,9552226,9550845,0.6430583166675907,0.8314169904347027,0.14342842482640475,0.12495721309376938,2,28,33
14910180,9562859,9508202,0.27367975424580343,0.4635804937029715,0.3828534697984076,1.2136397957469285,3,5,19
14916079,9554089,2727611,0.2248088662209122,0.39654225547361216,0.11270187636544286,0.11902209617783427,9,15,19
14949190,3469437,9512113,0.16367597831981862,0.3001619244289821,0.1001441619897355,1.1929054298509727,25,40,48
10669398,10632940,10649315,0.1924978486555699,0.37865758546688427,7.282246498880751,3.4747459446095337,30,40,46
10670173,4475899,4469363,0.599424879025679,0.6389745404238472,2.264382342359479,2.8491096101959754,8,37,43
21924775,14978115,15673373,0.8277992992940643,1.0549181130082523,0.3875244150312821,0.1671694293353347,1,4,4
10664749,4471813,4477697,0.29461954306401333,0.29804857133418555,1.231819595249318,0.8500775851768374,30,40,47
10665676,4456329,4471813,0.2629332076794688,0.3408087044258392,1.483405488154077,1.2467590661547316,21,39,47
10666539,10637653,10642203,0.8505542704631366,1.1774267929324993,1.7895978123384129,2.867604193080514,1,30,44
10667287,4469363,4480428,0.12567362782183808,0.13457377707053894,1.678626699868311,0.8637953930737282,24,41,43
10668208,4458732,10669398,0.400078308545862,0.5302365013255507,2.832255373217655,0.999576212451596,18,37,48
14978115,4456329,15673373,0.20060712251853408,0.2639871698159973,0.1068476269245384,0.4313777993106326,13,16,18
15673373,4481850,4471813,0.14805657777760703,0.2528194085877464,0.11303583044886051,0.20817556114049598,20,31,37
15691064,10653918,10639641,0.22824453208155077,0.4088174941343058,0.2653854948048227,0.2834432500140262,21,32,37
15700111,15705955,10629926,0.6430222703358749,0.7901288717683911,1.6642870608483344,0.6343436364909893,3,19,41
15703380,4475267,10655575,0.11876231296805911,0.2201429310970342,0.8248905722889183,1.5739608896136643,2,8,35
15705955,10629926,10644456,0.43830120674520934,0.4669898522833896,0.38115037448386235,0.35536879327761617,4,34,44
10657105,10668208,4469363,1.0763193532145952,1.1398566345213226,1.0810944331517018,2.996794940456101,0,31,43
10658006,4461431,10651123,0.2561123707106823,0.2880849889006191,1.1826200824357276,1.6766138480394643,30,42,47
10660489,10629926,10664749,0.4886455201271971,0.5204990207965612,2.91804342358525,2.038639964855184,21,39,43
10661221,4481514,10651123,0.14258482526196506,0.157522879317804,0.4544283716509824,2.451194137328449,30,41,47
11045622,9817538,9012764,0.8265050489077143,1.4348663953913572,1.4416504843946438,1.4911881167254715,1,2,2
11212385,10052567,9652693,4.521420861088342,4.59401377000141,1.50001041221402,1.8131024685598922,0,0,0
11339147,10767898,14648181,3.6804374965422877,4.239501151659555,1.0446406827499304,7.428784874254593,0,0,0
19104572,12648879,20695119,0.31776299682583214,2.6453744078909094,0.3926859987504819,0.7576664194521463,1,1,2
12657291,12656053,12648879,0.30876593368760785,0.45155904910861233,0.994280290016907,5.9836822927557325,4,4,6
12648879,12656053,19104572,0.24026410491428538,0.31776299682583214,0.16616528775611178,2.5465639294040985,4,4,6
12654693,12648879,12656053,0.42647636193632427,0.4846788262456995,6.452753166691009,1.072223586762373,4,4,6
12656053,12648879,12657291,0.24026410491428538,0.30876593368760785,6.018104102872224,1.0057526132626,4,4,6
13720597,20770175,17997834,0.2433347137924888,7.839159769643222,4.873118759217776,1.4794147386308305,1,1,1
20770175,13720597,17997834,0.2433347137924888,7.775493228131544,0.20520739374726796,0.30358684278572834,1,1,1
13817836,1416532,14449267,0.9264971623250262,0.9371907609549025,1.6390634010477572,5.952906733959867,2,2,2
14449267,1416532,13817836,0.0611949331384004,0.9371907609549025,0.27533833038191313,0.16798516165140742,2,2,2
1416532,14449267,13817836,0.0611949331384004,0.9264971623250262,3.6318953434958785,0.610104526378149,2,2,2
14582104,13637022,13638550,4.896454967526542,5.021153024733707,0.1937922796954468,0.14293168178331606,0,0,0
10663958,4481514,10651123,0.384535891720904,0.4179918383808246,0.7368553550001866,3.9746099471595917,29,39,47
10644456,15705955,10629926,0.4669898522833896,0.8276247913702383,2.813978095197555,1.0725488047739338,2,25,42
10645724,4476932,4461431,0.22315837240176387,0.2297246097493317,0.4486561994847913,0.8664475909791756,28,40,47
10649315,4470669,10632940,0.1968211687312004,0.2058438903920013,0.6971793750370697,2.0957637234393767,31,41,47
10651123,4481514,10661221,0.09914967196591178,0.157522879317804,0.185390608083888,0.4079644222264246,32,41,47
10653918,15691064,4481850,0.22824453208155077,0.45305918702007897,3.7681034554486414,0.433940609048004,22,39,46
10655575,4475267,15703380,0.162305273914325,0.2201429310970342,0.5240858128891572,0.6353398020235779,2,6,34
10627693,15700111,15705955,0.8677733402923028,1.3568034116903205,0.9795722185371445,1.6302893684778665,1,4,29
10629926,15705955,10660489,0.43830120674520934,0.4886455201271971,2.6236364095251314,0.34269538003356764,6,36,43
