GalaxyID,Redshift,SnapNum,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge
17,3.0165045261383057,12,0,7.729120254516602,83.58892059326172,66.6261978149414,69962080256.0,25528956928.0,141708771328.0,3249624317952.0,88996576.0,0.8726037740707397,66.69312286376953,52.176029205322266,0.7141886353492737,0.008916166611015797,0.017852863296866417,0.7287696599960327,0.004899334628134966,0.010466142557561398,0.7493232488632202,0.0006210666033439338,0.0012190679553896189,28.562271118164062,0.7674405574798584
6535,3.0165045261383057,12,0,9.183841705322266,83.15750885009766,68.03925323486328,1004022016.0,3124482560.0,13040661504.0,140170985472.0,5423858.5,2.7208521366119385,16.480379104614258,20.0922794342041,0.7458111047744751,0.0018154156859964132,0.003055376233533025,0.7434736490249634,0.002471962245181203,0.0042413379997015,0.750137448310852,0.0005041444092057645,0.0008879757369868457,2.189540147781372,0.5874831676483154
12228,3.0165045261383057,12,0,9.775846481323242,83.18202209472656,67.5540542602539,15763777536.0,3792746240.0,30337267712.0,642820341760.0,54217620.0,1.1331562995910645,34.559017181396484,32.38029861450195,0.7230151295661926,0.007271258160471916,0.01408214308321476,0.7163570523262024,0.0075184921734035015,0.016126016154885292,0.7476659417152405,0.0009475856204517186,0.0019684319850057364,4.387504577636719,0.6679431200027466
13647,3.0165045261383057,12,0,26.48236846923828,75.5251693725586,54.49116897583008,51745533952.0,9948418048.0,80040845312.0,2106374881280.0,185242384.0,0.6775882244110107,60.94862365722656,49.69186019897461,0.7101242542266846,0.009767559356987476,0.019738607108592987,0.7357322573661804,0.0037927625235170126,0.007515416014939547,0.7480993270874023,0.0009000693098641932,0.0017785331001505256,5.827824115753174,0.5757394433021545
15815,3.0165045261383057,12,11,26.482952117919922,75.52652740478516,54.490753173828125,1304844032.0,0.0,0.0,0.0,0.0,0.171894833445549,0.0,0.0,0.6813209652900696,0.016105150803923607,0.03307950869202614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4389020502567291
17822,3.0165045261383057,12,1,25.636131286621094,75.34959411621094,54.77235412597656,15752830976.0,3203761664.0,21111404544.0,597069398016.0,47048948.0,0.6922243237495422,35.996543884277344,30.068761825561523,0.7180648446083069,0.008499323390424252,0.016491634771227837,0.7252811193466187,0.004877291154116392,0.011766936630010605,0.7496471405029297,0.0004988014115951955,0.001052427222020924,2.517322063446045,0.9700655341148376
21809,3.0165045261383057,12,0,10.621167182922363,81.89408874511719,55.12978744506836,2260711936.0,8619680768.0,38996488192.0,514137980928.0,7310122.5,4.808393955230713,25.8509521484375,25.071435928344727,0.7469682693481445,0.0015473936218768358,0.002534294268116355,0.7446601390838623,0.002241708803921938,0.003702495014294982,0.7504646182060242,0.00042871531331911683,0.0007317503914237022,6.692026615142822,0.4944290518760681
23317,3.0165045261383057,12,0,3.8406944274902344,84.45963287353516,57.56583023071289,1286365696.0,3746209024.0,18123266048.0,238769586176.0,3634859.25,2.403547525405884,19.208553314208984,25.193395614624023,0.745091438293457,0.002001122571527958,0.003424286376684904,0.7418122887611389,0.002879828680306673,0.005106448661535978,0.7506886720657349,0.00035370158730074763,0.0006246003322303295,3.0566554069519043,0.5700883269309998
24493,3.0165045261383057,12,0,21.840139389038086,72.788330078125,56.600711822509766,6994843136.0,19166375936.0,50881581056.0,892254486528.0,25488794.0,4.934587001800537,24.817138671875,32.337806701660156,0.7436963319778442,0.0025038234889507294,0.004255235660821199,0.7405335903167725,0.003312644548714161,0.0058479891158640385,0.7493288516998291,0.0007288429187610745,0.0012959622545167804,14.916436195373535,0.4907345175743103
26279,3.0165045261383057,12,0,26.861984252929688,76.4073257446289,62.47959899902344,16295390208.0,17820243968.0,34476781568.0,589866008576.0,13609694.0,0.7893000841140747,20.185022354125977,30.21192741394043,0.7290810346603394,0.006197584792971611,0.011601856909692287,0.7121522426605225,0.009825353510677814,0.01934470236301422,0.7497953772544861,0.0005642249016091228,0.001048039528541267,39.37031936645508,0.37151649594306946
